,gene,global_bin,present,avg_exp
0,Xkr4,0.34325509978186086,0.9484806068542014,0.5449200339147002
1,Gm1992,0.5111665479938744,0.0,0.0
2,Gm19938,0.34773564120683875,0.9363796450986589,0.2594895406704658
3,Gm37381,0.9984422987217699,0.0,0.0
4,Rp1,0.9850614845839042,0.0,0.0
5,Sox17,0.9996875136623183,0.0,0.0
6,Gm37587,0.9990669735736788,0.0,0.0
7,Gm37323,1.0,0.0,0.0
8,Mrpl15,0.40440068182296096,0.0,0.0
9,Lypla1,0.2547546498990194,0.20214927529687993,0.3127424331987461
10,Tcea1,0.3713330442970141,0.9714634036212579,0.3052322839903827
11,Rgs20,0.5196770070931057,0.07847564004154062,0.45250089107175817
12,Gm16041,0.9993768316028919,0.0,0.0
13,Atp6v1h,0.32689436535574307,0.9459520476814016,0.2942438024195927
14,Oprk1,0.9623691773505891,0.0,0.0
15,Npbwr1,0.9944087983239785,0.0,0.0
16,Rb1cc1,0.12647312803558627,0.5062085158260713,0.20046393040748067
17,4732440D04Rik,0.8624769708253103,0.0,0.0
18,Alkal1,0.9968872354847832,0.0,0.0
19,St18,0.9835116311863259,0.0,0.0
20,Pcmtd1,0.7205541799318809,1.0,1.6648862113499203
21,Gm26901,0.8198199803742529,0.0,0.0
22,Gm30414,0.9987524985189622,0.0,0.0
23,Sntg1,0.49491859155410667,0.765295525353321,0.945573196041205
24,Rrs1,0.5885677483552525,0.0,0.0
25,Adhfe1,0.9134813752132587,0.0,0.0
26,2610203C22Rik,0.9757231922241799,0.0,0.0
27,Vxn,0.6676536792788331,0.027046552580484943,0.5284756820374841
28,Gm29520,1.0,0.0,0.0
29,Mybl1,0.9486543996903751,0.0,0.0
30,Vcpip1,0.2036900387393724,0.7076353456450085,0.19147967021097567
31,1700034P13Rik,0.9495792719237026,0.0,0.0
32,Sgk3,0.7367608674464163,0.0,0.0
33,Mcmdc2,0.8372461777276436,0.0,0.0
34,Snhg6,0.11778718940909902,0.5341129724116134,0.12254665396489084
35,Tcf24,0.9950207118846431,0.0,0.0
36,Ppp1r42,0.989420017352415,0.0,0.0
37,Gm15818,0.9996878908790466,0.0,0.0
38,Cops5,0.15016992490755718,0.14733372465796724,0.1725440896030641
39,Cspp1,0.3928322754891774,0.9714634036212579,0.18955082688917835
40,Arfgef1,0.4345669901500252,1.0,1.0904718615289963
41,Cpa6,0.9573765266517094,0.0,0.0
42,Prex2,0.8408763256736228,0.011333363435228248,0.7469789317070784
43,A830018L16Rik,0.5762378673321088,0.6682169142547524,1.7608565222671646
44,Gm17644,1.0,0.0,0.0
45,Gm29663,1.0,0.0,0.0
46,Sulf1,0.9701241104497924,0.0,0.0
47,Slco5a1,0.9576807595768196,0.0,0.0
48,Gm29283,0.9987530070926345,0.0,0.0
49,Prdm14,0.9984448798568536,0.0,0.0
50,Ncoa2,0.1691494755031366,0.8686503815415181,0.24065487075838887
51,Gm29570,0.9766495050661889,0.0,0.0
52,Tram1,0.34927871713909847,0.21569512800830812,0.3696050957535298
53,Lactb2,0.6495881960308156,0.0,0.0
54,Xkr9,0.9990659016652805,0.0,0.0
55,Eya1,0.7765215832164032,0.0,0.0
56,Gm9947,0.924718251116065,0.0,0.0
57,Msc,0.9383957913602889,0.0,0.0
58,Trpa1,0.9975130179053019,0.0,0.0
59,Kcnb2,0.425077851975045,1.0,1.4859446913855725
60,Terf1,0.4395830571105215,0.0,0.0
61,Sbspon,0.9763940257950002,0.0,0.0
62,4930444P10Rik,0.9163358668778461,0.0,0.0
63,Rpl7,0.267739705847156,0.7632636474466069,0.46777056174209974
64,Rdh10,0.8014605269160452,0.0,0.0
65,Gm28095,0.9934585052398275,0.0,0.0
66,Stau2,0.4208876612354971,0.9886666365647717,0.3879075851053231
67,Gm7568,0.9875516637280907,0.0,0.0
68,Ube2w,0.609755292774912,1.0,1.3256636748180632
69,Eloc,0.452575792148341,0.9822097801056576,0.36193192622768233
70,D030040B21Rik,0.998444907928423,0.0,0.0
