,gene,global_bin,present,avg_exp
0,Xkr4,0.4677934597611152,0.6254983107490765,1.0711512014006006
1,Gm1992,0.6753467887816114,0.0,0.0
2,Gm19938,0.2685511734702113,0.42883147977914865,0.4353086661795535
3,Gm37381,0.9987994101266792,0.0,0.0
4,Rp1,0.9930003241452073,0.0,0.0
5,Sox17,0.9997331127336448,0.0,0.0
6,Gm37587,0.9998001601885491,0.0,0.0
7,Gm37323,0.9998666132412188,0.0,0.0
8,Mrpl15,0.47065038023541894,0.0,0.0
9,Lypla1,0.3308216804387809,0.052617065436786695,0.34407708153916644
10,Tcea1,0.4215659510221871,0.9823442780708362,0.17844623185661002
11,Rgs20,0.3608931911619438,0.6438003648040285,0.6117706054001423
12,Gm16041,0.9994662525841967,0.0,0.0
13,Atp6v1h,0.3870057186674105,0.9576148619169726,0.22851443986854603
14,Oprk1,0.9304738658520785,0.03114902412477779,0.9023010737481866
15,Npbwr1,0.9929318742038087,0.0,0.0
16,Rb1cc1,0.5938881055167823,0.9970213198067728,0.314419902825954
17,4732440D04Rik,0.822365275960778,0.0,0.0
18,Alkal1,0.9835202186806782,0.0,0.0
19,St18,0.9677420917761562,0.0,0.0
20,Pcmtd1,0.7763318443433989,0.9970213198067728,0.6353028888431074
21,Gm26901,0.8414984711518912,0.0,0.0
22,Gm30414,0.99799960809718,0.0,0.0
23,Sntg1,0.5448531914201257,0.813389202278082,1.1329937885096473
24,Rrs1,0.6591234165582682,0.0,0.0
25,Adhfe1,0.9611361507815999,0.0,0.0
26,2610203C22Rik,0.9530032366581476,0.0,0.0
27,Vxn,0.6393452885151455,0.6655356073318035,2.097513163001637
28,Gm29520,0.9999333316477219,0.0,0.0
29,Mybl1,0.9461399238400453,0.0,0.0
30,Vcpip1,0.2440909547477673,0.8308455280367848,0.2046588607315286
31,1700034P13Rik,0.9533429148578819,0.0,0.0
32,Sgk3,0.41625083166431254,0.030302898835636024,0.34512343364146647
33,Mcmdc2,0.7605056788384684,0.0,0.0
34,Snhg6,0.1344517184879623,0.5804604133015547,0.14847830929268857
35,Tcf24,0.9963341919255516,0.0,0.0
36,Ppp1r42,0.9536042754633764,0.0,0.0
37,Gm15818,0.9991335722603976,0.0,0.0
38,Cops5,0.15958363876662973,0.11704429009117141,0.14133058201673526
39,Cspp1,0.44824952989965783,0.9728921590966773,0.28493966027545226
40,Arfgef1,0.5361570440295573,0.9930658646151169,0.49827769573730174
41,Cpa6,0.865718647404421,0.044711914788962,1.7403573338854843
42,Prex2,0.8362958327986056,0.0024274309366885396,0.7518267482521181
43,A830018L16Rik,0.5261812300110946,0.5562775064201984,1.3191748805191195
44,Gm17644,0.999666822614947,0.0,0.0
45,Gm29663,0.9999333316477219,0.0,0.0
46,Sulf1,0.7838480801207766,0.1047287428962236,1.3454141565886923
47,Slco5a1,0.9515480077280131,0.0,0.0
48,Gm29283,0.9987327000844266,0.0,0.0
49,Prdm14,0.9980009947156404,0.0,0.0
50,Ncoa2,0.17470348920426332,0.8769758322745981,0.2972981897909954
51,Gm29570,0.9717989710158412,0.0,0.0
52,Tram1,0.4188200631693416,0.05524463089623159,0.3857895359586168
53,Lactb2,0.6950490218290997,0.0,0.0
54,Xkr9,0.9990668659676523,0.0,0.0
