,index,gene,global_bin,present,avg_exp
0,14,Sgk3,0.5178231651171618,0.2048828769383042,0.741198620080495
1,43,Bend6,0.6639566679821792,0.7205542725173211,1.2250054967384285
2,57,Cox5b,0.6127668337973093,0.7634444077862093,1.2175379269852815
3,68,Pdcl3,0.5003338956045791,0.7641042560211151,0.831708666886728
4,103,Plcl1,0.5195704585486574,0.5895743978884856,1.646185314433494
5,145,Pnkd,0.5989077399541654,0.7964368195315077,1.1798237876132034
6,158,Tuba4a,0.5904467884917501,0.7763114483668756,1.2308297617962316
7,275,Syt2,0.7460656995904652,0.6080501484658529,2.692914881418649
8,342,Atp1b1,0.7179869987812554,0.6469811943253052,1.5826610024477938
9,362,Pcp4l1,0.5343316672688982,0.48168921148135935,1.7406895809107032
10,400,Stum,0.673458691716717,0.23853513691850875,1.2095289508657723
11,432,Esrrg,0.5376103142747848,0.6370834708017157,1.5957408981308987
12,496,Gad2,0.9064083460773886,0.3559881227317717,4.368108536566527
13,502,Pax8,0.8425068874215961,0.2398548333883207,1.4110496138744115
14,515,Grin1,0.54557541140047,0.7984163642362256,0.6536782735590267
15,532,Nacc2,0.5803531499692806,0.5720884196634775,1.4113659089582904
16,548,Olfm1,0.7292693575367897,0.7782909930715936,1.8020033697330915
17,640,Kcnh7,0.629928707411606,0.7799406136588585,2.3386634106733464
18,641,Fign,0.6234815876092448,0.28505443747937975,1.8586632064430413
19,646,Gm13629,0.5742297062515175,0.7512372154404487,1.4793971935878898
20,659,Gad1,0.9381979134688352,0.3177169251072254,3.7590566737890643
21,675,Atp5g3,0.6060660491236899,0.7740019795447047,1.4221258499992642
22,695,Zfp385b,0.6119791765222873,0.6697459584295612,2.085518551266929
23,800,Ryr3,0.5671031680939554,0.7429891125041239,1.998294420157099
24,824,Oip5os1,0.7701162819401624,0.7502474430880897,2.021223193235323
25,834,Ttbk2,0.5707269038247085,0.7822500824810293,1.133478126494204
26,839,Map1a,0.5601140125772835,0.7555262289673375,1.2845061947279088
27,911,Lamp5,0.7537134423555565,0.44011877268228305,2.500490424742421
28,913,Snap25,0.605116931317242,0.5513032002639393,0.9179332371596418
29,1011,Gm14204,0.8571667809133805,0.3487297921478061,1.4264963387682335
30,1012,Slc32a1,0.969363803153716,0.3543385021445068,3.725689788640608
31,1082,Cbln4,0.6293071469495416,0.23391619927416696,1.3261022985938722
32,1131,Chrna4,0.5106451815020725,0.535136918508743,0.8063650202857663
33,1147,Zfhx4,0.7649829453461858,0.7119762454635434,2.593585972744422
34,1157,Mir124-2hg,0.5411743202322797,0.7822500824810293,1.019433456247494
35,1167,Egfem1,0.5650300907076857,0.577697129660178,2.38159794722131
36,1176,Kcnmb2,0.6619376997560245,0.23391619927416696,2.337931274623103
37,1196,Anxa5,0.5189960615289757,0.3236555592213791,0.9494626564138822
38,1205,Hspa4l,0.6101781406053346,0.6690861101946552,0.9730170546590449
39,1277,Mab21l2,0.6119572421084417,0.5367865390960078,1.4665626275790593
40,1286,Bcan,0.562167582913953,0.6159683272847246,1.0277064039806991
41,1415,Kcna2,0.7482516799276275,0.7753216760145166,2.0520421680243714
42,1458,Ndst4,0.5301694567284279,0.4110854503464203,1.620030147839228
43,1677,Sh3gl2,0.5754352049103144,0.79445727482679,0.8745699402739886
44,1725,Elavl4,0.5129275812164173,0.7944572748267898,0.9153407468683721
45,1798,Grik3,0.6501402349165467,0.26822830748927745,1.732752861886263
46,1813,Fndc5,0.7230126734288124,0.6991092048828769,1.9573639980743054
47,1830,Epb41,0.5432976761016577,0.7845595513032002,1.2067946606531512
48,1927,6330411D24Rik,0.6345383863883436,0.6245463543385021,2.332872990678165
49,2098,Slc30a3,0.8466584041832077,0.3203563180468492,2.2650868529261885
50,2126,Nat8l,0.6221354631212328,0.6654569449026725,1.5167914177632922
51,2188,Gabra4,0.5268827172447884,0.20191355988122733,1.0923000162146108
52,2230,Slc4a4,0.6657205896204672,0.3088089739359947,2.1510176416797155
53,2286,Sparcl1,0.6172809145491951,0.6469811943253052,1.9763873750505347
54,2299,Cplx1,0.6956504200309526,0.5842956120092379,2.2926543290499604
55,2326,Iscu,0.6124138534818314,0.7588254701418673,1.3018121849240554
56,2340,Gm13832,0.536262644116553,0.22731771692510722,0.7204800345758047
57,2356,Tesc,0.7006285514544,0.20290333223358628,1.4357568163073275
58,2363,Lhx5,0.6662675362478756,0.2837347410095678,0.7585838793303159
59,2387,Atp2a2,0.6049864370943601,0.7542065324975256,1.0441073743046054
60,2577,Ndufa4,0.5281568533604168,0.5526228967337513,1.1460576766290824
61,2578,Thsd7a,0.5119255665051572,0.5334872979214781,1.710009241736679
62,2667,Osbpl3,0.5757972568802062,0.25635103926096997,1.149522565600963
63,2816,Mitf,0.5541756993964787,0.2533817222038931,1.6042744324290583
64,2842,Atp2b2,0.7132522703753152,0.7248432860442099,1.124368113042114
65,2851,Rassf4,0.5147302284096326,0.4001979544704718,0.8093221398217438
66,2893,Vamp1,0.6677923724102154,0.5757175849554603,1.9117699561130572
67,2897,Kcna1,0.6476104373939768,0.6634774001979544,1.7741184837981705
68,3092,Atp1a3,0.6231103288413278,0.6713955790168262,1.1709175982544955
69,3173,Scn1b,0.5892913396933361,0.6261959749257671,1.2661461802371772
70,3221,Kcnc3,0.5368664896354935,0.36654569449026725,1.4823805908367376
71,3267,Slc6a5,0.9356960350558488,0.34246123391619937,3.657480824690339
72,3291,Nr2f2,0.6286656401665898,0.3140877598152425,1.9203750017836567
73,3292,B130024G19Rik,0.6099332322509063,0.25899043220059387,1.2285055894873922
74,3308,Sv2b,0.5312203441493399,0.7175849554602441,1.5905739392375122
75,3370,Tenm4,0.5403431808335699,0.7819201583635764,1.005940391817735
76,3465,Gpr139,0.5589938916632493,0.2296271857472781,0.8223606849689471
77,3687,Zmat4,0.5789225432554497,0.5783569778950841,2.0797195111308393
78,3751,Fat1,0.5246025099682312,0.28274496865720883,0.9396173453872346
79,3775,Galntl6,0.6421361656903243,0.7284724513361927,2.8883704151551175
80,3780,Mfap3l,0.5148815208326323,0.2147806004618938,1.262849126727883
81,3783,Tll1,0.667595447862153,0.2038931045859452,1.3258973722791547
82,3935,Ndrg4,0.6880300916231318,0.605080831408776,1.5072916143285227
83,3990,Calb2,0.6922638203161722,0.23655559221379086,2.753900669874074
84,4028,Cox4i1,0.5257123307002634,0.7482678983833719,1.0119500463424322
85,4034,Map1lc3b,0.5883642823165738,0.7693830419003629,1.2808631842223794
86,4099,Endod1,0.5139320955593509,0.7383701748597822,0.8892984174293748
87,4121,Pde4a,0.5042726736315883,0.744638733091389,0.9378032326113424
88,4206,Thy1,0.6845562108490908,0.7842296271857472,1.5410644376742426
89,4228,Scn4b,0.5708146628799472,0.38271197624546355,1.4465891005003653
90,4233,Dscaml1,0.6634103773526567,0.43352029033322337,1.991900426182693
91,4287,Cox5a,0.5725824503675917,0.7288023754536457,1.1654174181641865
92,4308,Pkm,0.5485380886353828,0.6238865061035962,1.1249666633210857
93,4352,Cgnl1,0.5804101742041705,0.26459914219729463,0.8884805622315066
94,4439,Rab6b,0.6061558883447402,0.7792807654239525,0.967847570731998
95,4628,Hs3st5,0.5068914770455513,0.767733421313098,1.5219871701147647
96,4816,Nfic,0.5400100818830748,0.6878917848894754,1.1915848605527593
97,4858,Ano4,0.525588615965407,0.6360936984493566,1.6327953082107574
98,4909,Kcnc2,0.6516939087444439,0.7736720554272517,2.4223455040546593
99,4968,Atp5b,0.5203999220955251,0.6902012537116464,1.0839695000312681
100,5013,Cabp7,0.5191437759383342,0.5070933685252392,0.9969740799634144
101,5016,Nefh,0.5353945166900935,0.5209501814582647,1.7614081868539344
102,5056,Mdh1,0.5810155109665296,0.6733751237215441,1.230437106080609
103,5088,Tenm2,0.6506779836719764,0.7291322995710987,2.8566524762445322
104,5156,Glra1,0.5411122631716172,0.7119762454635433,1.1122464220286816
105,5232,Kcnab3,0.6179278624578785,0.22467832398548332,1.430117013956795
106,5244,Fgf11,0.5225543684232179,0.3035301880567469,0.7866197062936793
107,5329,Aldoc,0.638834939541581,0.6845925437149456,1.988829663792531
108,5361,Lhx1,0.7633789080208276,0.29825140217749924,1.2270575800078425
109,5362,Lhx1os,0.7706938010392712,0.22896733751237214,1.5855231795166096
110,5386,Msi2,0.5150830255004111,0.697459584295612,1.1196488937014775
111,5417,Atp5g1,0.543396199413867,0.7485978225008248,1.1245372697051108
112,5426,Hoxb3,0.5488042731412077,0.43648960739030024,1.015752069234028
113,5493,Rnd2,0.5223676112666815,0.7020785219399539,1.0692594535034345
114,5524,Nsf,0.7640485653450462,0.7819201583635764,1.1837617309539539
115,5556,Rab37,0.5604974427558376,0.26459914219729463,0.7249852630367002
116,5713,Hdac9,0.5161796546846691,0.7746618277796107,1.5283014529663377
117,5821,Dpf3,0.5773988974164881,0.2711976245463543,1.186624003360071
118,5836,Syndig1l,0.5527755938855579,0.2002639392939624,1.040344644120415
119,5860,Nrxn3,0.6905695495542052,0.7687231936654569,2.89219054419915
120,5910,Atp5mpl,0.5060791353692555,0.7185747278126031,1.0716035904075218
121,5946,Adarb2,0.6725202055993147,0.22137908281095345,3.181227479333898
122,5961,Pou6f2,0.6336102382842126,0.24777301220719236,1.6258493472333169
