,gene,global_bin,present,avg_exp
0,Xkr4,0.5099438018191824,0.6730118125047024,0.659007738447599
1,Gm1992,0.39099684913641564,0.8605823489579414,0.5479805178892667
2,Gm19938,0.2835118605152912,0.6180874275825747,0.48697408047745916
3,Gm37381,0.9958053253825965,0.0,0.0
4,Rp1,0.9342619559024322,0.0,0.0
5,Sox17,0.9973996716081924,0.0,0.0
6,Gm37587,1.0,0.0,0.0
7,Gm37323,0.9989996793927904,0.0,0.0
8,Mrpl15,0.7076629289245026,1.0,1.4870627465065853
9,Lypla1,0.469746098740199,0.9110676397562261,0.6571337420888241
10,Tcea1,0.35514136968825605,0.8766834700173048,0.40479758716843905
11,Rgs20,0.5380494959934463,0.8103227748100218,1.2568541682147831
12,Gm16041,0.9887124770743068,0.0,0.0
13,Atp6v1h,0.5216157857730631,0.9532014144910089,0.6143763267471396
14,Oprk1,0.6302500909915365,0.20525167406515687,1.4804222113245877
15,Npbwr1,0.9043733940997922,0.002708599804378903,0.7262837264411552
16,Rb1cc1,0.4345628448676561,0.9235572944097509,0.3655083204834222
17,4732440D04Rik,0.23463638272922635,0.466556316304266,0.3406052914904873
18,Alkal1,0.9787303591360261,0.0,0.0
19,St18,0.6838111249596096,0.03844706944548943,2.0208973401737405
20,Pcmtd1,0.44754575797420637,0.8021969753968851,0.47301615245045525
21,Gm26901,0.3264182260166458,0.15228350011285832,0.3716007482112067
22,Gm30414,0.996300713928574,0.0,0.0
23,Sntg1,0.6690827435290823,0.7199608757806034,0.9747972421629019
24,Rrs1,0.423030714997827,0.9216010834399218,0.5009723938232836
25,Adhfe1,0.6002688487071689,0.02091640960048153,0.4701084251028339
26,2610203C22Rik,0.9064971265235671,0.0,0.0
27,Vxn,0.5356933238924005,0.43420359641862916,0.9378801305214909
28,Gm29520,1.0,0.0,0.0
29,Mybl1,0.4740876688859579,0.07320743360168534,0.43814621860513997
30,Vcpip1,0.40868771013793775,0.9272439996990445,0.47738517341734044
31,1700034P13Rik,0.7768064326103751,0.0,0.0
32,Sgk3,0.3524159570061607,0.3608456850500339,0.541859032484836
