,gene,score
0,6330411D24Rik,0.9579354178297966
1,Ahi1,0.958766114915519
2,Arpp21,0.9586220829455462
3,Atp1b1,0.9598599373263439
4,Baiap3,0.9573435255832187
5,Bcl11a,0.9583268130980869
6,Bcl11b,0.959464436648572
7,Cadm2,0.9577236395124351
8,Cdh13,0.958633971072423
9,Cdh18,0.9558656730186267
10,Celf2,0.9603492409491879
11,Chrm3,0.9581222629902768
12,Clstn2,0.956184169614718
13,Cntn5,0.9571789218596531
14,Cntnap2,0.9593240048536494
15,Cntnap4,0.9579859601068454
16,Cntnap5a,0.9565042932575705
17,Cntnap5b,0.9569465905408491
18,Cplx1,0.9583956797555501
19,Csmd1,0.9585041320121985
20,D030068K23Rik,0.9586334956176611
21,Dab1,0.9577123008986389
22,Dcc,0.956485281931997
23,Dlgap1,0.9570445805803607
24,Ebf2,0.954108077745333
25,Egfem1,0.9557472458921858
26,Epha5,0.9587456416342769
27,Gabra1,0.9587335723717924
28,Galnt13,0.9586406707736594
29,Gria1,0.9596278889518141
30,Grid2,0.9590420575683672
31,Grik1,0.9579980601498115
32,Grik2,0.9570853636142124
33,Grm7,0.9579860301930082
34,Grm8,0.9556006521753202
35,Hcn1,0.9569102578701469
36,Hoxa5,0.9536996108137825
37,Hoxb3,0.9545537511862107
38,Hoxb4,0.9533383117719004
39,Hoxc4,0.9549427278124898
40,Hoxd3,0.9529845508645169
41,Hs6st3,0.9575467169963561
42,Kcnb2,0.9568303816286952
43,Kcnip4,0.9589041237005218
44,Lrp1b,0.9588200072410472
45,Lrrc4c,0.9588016813649984
46,Lsamp,0.9582270697014411
47,Lypd1,0.9548064972731585
48,Mab21l2,0.9579494485806461
49,Mgat4c,0.958080334529554
50,Mpped2,0.9595498020391608
51,Necab1,0.9577224921270904
52,Negr1,0.9591559908254986
53,Nr2f2,0.9577949453113074
54,Nrg1,0.9579482361216449
55,Ntm,0.9566798196037621
56,Ntng1,0.9588106981119053
57,Nxph1,0.9578938396680301
58,Nxph4,0.9565087726858534
59,Onecut2,0.9564646140912676
60,Opcml,0.9569767804163425
61,Oprm1,0.9569887161340134
62,Pbx3,0.9577310147092992
63,Pcdh11x,0.9566860507072088
64,Pcdh15,0.9568784098800436
65,Pcdh17,0.9558766789254851
66,Pcdh7,0.9573400654462
67,Pcp4,0.9585608525131593
68,Pdzrn4,0.9574477267305835
69,Ppp3ca,0.9584030508548946
70,Prkcb,0.957386820388271
71,Prkg1,0.9572457178216334
72,Ptprd,0.9572702621545034
73,Ptprt,0.9569863343143739
74,Rab3c,0.958727071934557
75,Rbfox1,0.9583166669225432
76,Rmst,0.9577054367925939
77,Robo1,0.9590158262949979
78,Robo2,0.9580975249916112
79,Runx1t1,0.9560218009405169
80,Scn1a,0.9577775301719622
81,Sdk1,0.9568978466316194
82,Slc8a1,0.9574309485303718
83,Snca,0.957347295176709
84,Sorcs3,0.9564133844128262
85,Syt2,0.9582242644155134
86,Unc13c,0.9555330989887308
87,Vamp1,0.9582253754527856
88,Vsnl1,0.9577183997997427
89,Zfhx4,0.9559767847870587
