,gene,score
0,6330411D24Rik,0.9573315795431736
1,Ahi1,0.9576667813359497
2,Arpp21,0.9586310980004675
3,Atp1b1,0.9585836050951473
4,Baiap3,0.956407909607997
5,Bcl11a,0.9563061069298451
6,Bcl11b,0.9598015009279586
7,Cadm2,0.9584603603182897
8,Cdh13,0.9588457175025955
9,Cdh18,0.9551012219067252
10,Celf2,0.9579004963523282
11,Chrm3,0.9575884528975984
12,Clstn2,0.9578716945767013
13,Cntn5,0.9572929625311899
14,Cntnap2,0.957073635745323
15,Cntnap4,0.9584984299927602
16,Cntnap5a,0.9581010023151002
17,Cntnap5b,0.9569762531704061
18,Cplx1,0.9571948949407855
19,Csmd1,0.9593926097019455
20,D030068K23Rik,0.9576659528939631
21,Dab1,0.9583478291789401
22,Dcc,0.9572924362568561
23,Dlgap1,0.9561842058604301
24,Ebf2,0.9538686867037236
25,Egfem1,0.9562068218760987
26,Epha5,0.9578696935492278
27,Gabra1,0.9582776484254176
28,Galnt13,0.9576485344169184
29,Gria1,0.9583041012941276
30,Grid2,0.9578246502673898
31,Grik1,0.9574553779352535
32,Grik2,0.956410877444474
33,Grm7,0.9585817157534614
34,Grm8,0.9560844533851129
35,Hcn1,0.9578095523875858
36,Hoxa5,0.953711698575745
37,Hoxb3,0.9538608876147994
38,Hoxb4,0.9520436735448428
39,Hoxc4,0.953983055786482
40,Hoxd3,0.9539907965185239
41,Hs6st3,0.9567687095270866
42,Kcnb2,0.957337136635423
43,Kcnip4,0.9587765928808438
44,Lrp1b,0.9579504087165254
45,Lrrc4c,0.9584649402340474
46,Lsamp,0.9578994707067333
47,Lypd1,0.9550389930134153
48,Mab21l2,0.957423574246488
49,Mgat4c,0.9590290725139178
50,Mpped2,0.9580827246730457
51,Necab1,0.9555755167904612
52,Negr1,0.9594039932234769
53,Nr2f2,0.9569670940467261
54,Nrg1,0.9579190692919977
55,Ntm,0.9560179274657238
56,Ntng1,0.9570622649437707
57,Nxph1,0.9582767176380965
58,Nxph4,0.9558362271863756
59,Onecut2,0.9595249608781764
60,Opcml,0.9580542227714868
61,Oprm1,0.9571468657376249
62,Pbx3,0.9570074273856813
63,Pcdh11x,0.9546989814091397
64,Pcdh15,0.9578422838879992
65,Pcdh17,0.9572099321068784
66,Pcdh7,0.9574656308515231
67,Pcp4,0.9590826543276454
68,Pdzrn4,0.958431225527615
69,Ppp3ca,0.957846634588393
70,Prkcb,0.9571833463239234
71,Prkg1,0.957103903827883
72,Ptprd,0.9582212772607245
73,Ptprt,0.9568272661103598
74,Rab3c,0.9582421740194121
75,Rbfox1,0.9568540032284233
76,Rmst,0.9563439125398155
77,Robo1,0.9575419928074679
78,Robo2,0.9570002369322025
79,Runx1t1,0.9580041612641237
80,Scn1a,0.9582032099597386
81,Sdk1,0.9560980691025582
82,Slc8a1,0.9577979970195621
83,Snca,0.9570120312381422
84,Sorcs3,0.9574677085343144
85,Syt2,0.9573267760301781
86,Unc13c,0.9563100997146333
87,Vamp1,0.9579839673210402
88,Vsnl1,0.9581046853351127
89,Zfhx4,0.9564071370891831
