supertype,proportion
0805 PAG-PPN Pax5 Sox21 Gaba_4,0.012125489189709373
0806 SNr Six3 Gaba_1,0.029640084685956247
0807 IC Six3 En2 Gaba_1,0.04324116250721755
0808 IC Six3 En2 Gaba_2,0.0019888368512221725
0809 IC Six3 En2 Gaba_3,0.03175723359209598
0810 IC Six3 En2 Gaba_4,0.008853531789311605
0811 IC Six3 En2 Gaba_5,0.03387438249823571
0812 IC Six3 En2 Gaba_6,0.0035927375376916663
0813 IC Six3 En2 Gaba_7,0.003336113427856547
0814 PAG-MRN-RN Foxa2 Gaba_1,0.010970680695451337
0815 PAG-MRN-RN Foxa2 Gaba_2,0.010906524667992558
0816 PAG-MRN-RN Foxa2 Gaba_3,0.009751716173734522
0817 PAG-MRN-RN Foxa2 Gaba_4,0.003656893565150446
0818 PAG-ND-PCG Onecut1 Gaba_1,0.008596907679476486
0819 PAG-ND-PCG Onecut1 Gaba_2,0.0008981843844229166
0820 PAG-ND-PCG Onecut1 Gaba_3,0.0003849361647526785
0823 PAG-RN Nkx2-2 Otx1 Gaba_1,0.030409957015461602
0824 PAG-RN Nkx2-2 Otx1 Gaba_2,0.005902354526207737
0825 PAG-RN Nkx2-2 Otx1 Gaba_3,0.004555077949573362
0826 PAG-RN Nkx2-2 Otx1 Gaba_4,0.0010264964393404761
0827 PAG-RN Nkx2-2 Otx1 Gaba_5,0.005709886443831398
0828 PAG-RN Nkx2-2 Otx1 Gaba_6,0.0010264964393404761
0829 PRT Tcf7l2 Gaba_1,0.02585487906588824
0830 PRT Tcf7l2 Gaba_2,0.0019246808237633926
0831 PRT Tcf7l2 Gaba_3,0.017129659331494195
0832 PRT Tcf7l2 Gaba_4,0.0011548084942580355
0833 PRT Tcf7l2 Gaba_5,0.008917687816770386
0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0.00769872329505357
0835 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_2,0.0003849361647526785
0839 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,0.0010264964393404761
0844 SC-PAG Lef1 Emx2 Gaba_2,0.0010906524667992558
0845 SC-PAG Lef1 Emx2 Gaba_3,0.0016680567139282735
0846 SC-PAG Lef1 Emx2 Gaba_4,0.0013472765766343747
0847 SC-PAG Lef1 Emx2 Gaba_5,0.005260794251619939
0848 SCm-PAG Cdh23 Gaba_1,0.00019246808237633926
0849 SCm-PAG Cdh23 Gaba_2,0.000769872329505357
0851 SCm-PAG Cdh23 Gaba_4,0.002373773015974851
0852 SCs Dmbx1 Gaba_1,0.0004490921922114583
0853 SCs Dmbx1 Gaba_2,0.0005774042471290178
0855 SCs Dmbx1 Gaba_4,0.00025662410983511903
0856 SCs Dmbx1 Gaba_5,0.0018605247963046129
0857 SC Lef1 Otx2 Gaba_1,0.0019246808237633926
0862 SCs Pax7 Nfia Gaba_4,0.0007057163020465773
0863 SCs Pax7 Nfia Gaba_5,0.0018605247963046129
0864 PRT Mecom Gaba_1,0.0010906524667992558
0866 PRT Mecom Gaba_3,0.0009623404118816963
0869 SCs Lef1 Gli3 Gaba_1,0.00025662410983511903
0871 SCs Lef1 Gli3 Gaba_3,0.0004490921922114583
0872 SCsg Gabrr2 Gaba_1,0.0018605247963046129
0881 SNc-VTA-RAmb Foxa1 Dopa_2,0.000769872329505357
0882 SNc-VTA-RAmb Foxa1 Dopa_3,0.0104574324757811
0884 SNc-VTA-RAmb Foxa1 Dopa_5,0.002373773015974851
0885 SNc-VTA-RAmb Foxa1 Dopa_6,0.0005132482196702381
0886 SNc-VTA-RAmb Foxa1 Dopa_7,0.0013472765766343747
0887 SNc-VTA-RAmb Foxa1 Dopa_8,0.00025662410983511903
0888 MB-MY Tph2 Glut-Sero_1,0.0013472765766343747
0889 MB-MY Tph2 Glut-Sero_2,0.00019246808237633926
0890 MB-MY Tph2 Glut-Sero_3,0.00019246808237633926
0891 MB-MY Tph2 Glut-Sero_4,0.005581574388913838
0899 PB Lmx1a Glut_5,0.00025662410983511903
0904 PB Pax5 Glut_1,0.00025662410983511903
0906 LDT-PCG Vsx2 Lhx4 Glut_1,0.003913517674985565
0907 LDT-PCG Vsx2 Lhx4 Glut_2,0.00025662410983511903
0912 LDT-PCG Vsx2 Lhx4 Glut_7,0.0005132482196702381
0913 LDT-PCG Vsx2 Lhx4 Glut_8,0.006736382883171874
0914 PB Evx2 Glut_1,0.0008981843844229166
0916 PB Evx2 Glut_3,0.0016680567139282735
0921 PB Evx2 Glut_8,0.006608070828254315
0922 PB Evx2 Glut_9,0.008340283569641367
0926 PCG-PRNr Vsx2 Nkx6-1 Glut_2,0.008276127542182588
0927 PCG-PRNr Vsx2 Nkx6-1 Glut_3,0.0007057163020465773
0930 PCG-PRNr Vsx2 Nkx6-1 Glut_6,0.0017322127413870532
0939 PSV Pvalb Lhx2 Glut_1,0.00032078013729389875
0946 IPN-LDT Vsx2 Nkx6-1 Glut_1,0.00019246808237633926
