class,proportion
02 NP-CT-L6b Glut,0.0003849361647526785
12 HY GABA,0.00025662410983511903
14 HY Glut,0.0009623404118816963
18 TH Glut,0.008981843844229166
19 MB Glut,0.38198498748957466
20 MB GABA,0.4255469301340861
21 MB Dopa,0.01571822672740104
22 MB-HB Sero,0.007313787130300892
23 P Glut,0.04266375826008854
24 MY Glut,0.040097517161737345
26 P GABA,0.047796240456790914
27 MY GABA,0.02829280810932187
