cluster,proportion,include
0060 L5 IT CTX Glut_2,0.000703835,
0819 Sst Gaba_16,0.000699294,
0759 Sst Gaba_1,0.000694753,
0627 Vip Gaba_2,0.000685672,
0801 Sst Gaba_9,0.000681131,
0671 Sncg Gaba_2,0.000672049,
0784 Sst Gaba_5,0.000658426,
0761 Sst Gaba_1,0.000653886,
0363 L5 ET CTX Glut_2,0.000649345,
0063 L5 IT CTX Glut_4,0.000644804,
0055 L5 IT CTX Glut_1,0.000617559,
0034 L6 IT CTX Glut_1,0.000613018,
0111 L2/3 IT CTX Glut_2,0.000608477,
0085 L4/5 IT CTX Glut_3,0.000603936,Y
0720 Lamp5 Gaba_3,0.000603936,Y
0435 L6b CTX Glut_4,0.000594854,Y
0629 Vip Gaba_2,0.000581232,
0077 L4/5 IT CTX Glut_2,0.000576691,
0064 L5 IT CTX Glut_4,0.000549446,
0667 Sncg Gaba_1,0.000535823,
0086 L4/5 IT CTX Glut_3,0.0005222,
0036 L6 IT CTX Glut_1,0.000517659,
0074 L4/5 IT CTX Glut_1,0.000508578,
0353 L5 ET CTX Glut_1,0.000508578,
0648 Vip Gaba_6,0.000504037,
0811 Sst Gaba_13,0.000504037,
0710 Lamp5 Gaba_1,0.000490414,
0798 Sst Gaba_9,0.000490414,
0652 Vip Gaba_8,0.00046771,
0781 Sst Gaba_5,0.000463169,
0716 Lamp5 Gaba_2,0.000449546,
0724 Lamp5 Lhx6 Gaba_1,0.000435924,
0673 Sncg Gaba_3,0.000431383,
0818 Sst Gaba_16,0.000431383,
0814 Sst Gaba_14,0.000426842,
0799 Sst Gaba_9,0.000413219,
0646 Vip Gaba_6,0.000408679,
0038 L6 IT CTX Glut_2,0.000404138,
0080 L4/5 IT CTX Glut_2,0.000404138,
0640 Vip Gaba_5,0.000395056,
0794 Sst Gaba_7,0.000376892,
0116 L2/3 IT CTX Glut_3,0.000358729,
0751 Pvalb Gaba_6,0.000358729,
0358 L5 ET CTX Glut_1,0.000349647,
0669 Sncg Gaba_2,0.000345106,
0045 L6 IT CTX Glut_3,0.000340565,
0804 Sst Gaba_10,0.000331484,
0684 Sncg Gaba_8,0.000322402,
0354 L5 ET CTX Glut_1,0.000317861,Y
0366 L5 ET CTX Glut_3,0.000317861,Y
0717 Lamp5 Gaba_2,0.000304238,
0737 Pvalb Gaba_2,0.000295157,
0757 Sst Gaba_1,0.000295157,
0721 Lamp5 Gaba_3,0.000286075,
0670 Sncg Gaba_2,0.000267911,
0073 L4/5 IT CTX Glut_1,0.000263371,N
0783 Sst Gaba_5,0.000263371,
0714 Lamp5 Gaba_2,0.000254289,
0108 L2/3 IT CTX Glut_2,0.000245207,Y
0726 Lamp5 Lhx6 Gaba_1,0.000245207,
0752 Pvalb Gaba_6,0.000240666,
0369 L5 ET CTX Glut_3,0.000236125,N
0057 L5 IT CTX Glut_1,0.000231584,Y
0427 L6b CTX Glut_2,0.00020888,Y
0674 Sncg Gaba_3,0.00020888,
0683 Sncg Gaba_7,0.00020888,
0638 Vip Gaba_4,0.000204339,
0062 L5 IT CTX Glut_3,0.000195258,Y
0463 L5 NP CTX Glut_1,0.000195258,N
0067 L4/5 IT CTX Glut_1,0.000190717,N
0446 L6 CT CTX Glut_3,0.000190717,Y
0633 Vip Gaba_3,0.000190717,
0734 Pvalb Gaba_1,0.000190717,
0359 L5 ET CTX Glut_2,0.000181635,N
0677 Sncg Gaba_3,0.000181635,
0106 L2/3 IT CTX Glut_1,0.000177094,N
0782 Sst Gaba_5,0.000177094,
0471 L5 NP CTX Glut_3,0.000172553,N
0748 Pvalb Gaba_5,0.000172553,
0805 Sst Gaba_11,0.000163471,
0813 Sst Gaba_14,0.000163471,
0099 L4/5 IT CTX Glut_6,0.000158931,N
0357 L5 ET CTX Glut_1,0.000158931,
0450 L6 CT CTX Glut_4,0.00015439,
0101 L4/5 IT CTX Glut_6,0.000149849,
0008 IT EP-CLA Glut_1,0.000145308,
0026 L5/6 IT TPE-ENT Glut_2,0.000145308,
0092 L4/5 IT CTX Glut_4,0.000145308,
0497 HPF CR Glut_1,0.000136226,
0706 Lamp5 Gaba_1,0.000136226,
0050 L6 IT CTX Glut_4,0.000131685,
0154 L2/3 IT PIR-ENTl Glut_3,0.000127144,
0381 L5 ET CTX Glut_6,0.000113522,
0631 Vip Gaba_2,0.000113522,
0660 Vip Gaba_11,0.000113522,
0771 Sst Gaba_3,0.000113522,
0448 L6 CT CTX Glut_3,0.000108981,
0044 L6 IT CTX Glut_3,0.00010444,
0107 L2/3 IT CTX Glut_1,0.00010444,
0365 L5 ET CTX Glut_3,0.00010444,
0458 CT SUB Glut_1,0.00010444,
0461 L5 NP CTX Glut_1,0.00010444,
0753 Pvalb Gaba_7,0.00010444,
0569 OB-out Frmd7 Gaba_1,9.54E-05,N
0625 Vip Gaba_1,9.54E-05,N
0035 L6 IT CTX Glut_1,9.08E-05,N
0449 L6 CT CTX Glut_3,9.08E-05,N
0068 L4/5 IT CTX Glut_1,8.63E-05,
0361 L5 ET CTX Glut_2,8.63E-05,
0367 L5 ET CTX Glut_3,8.63E-05,
0368 L5 ET CTX Glut_3,8.63E-05,
0644 Vip Gaba_5,8.63E-05,
0093 L4/5 IT CTX Glut_4,8.17E-05,
0350 L5 ET CTX Glut_1,8.17E-05,
0467 L5 NP CTX Glut_2,8.17E-05,
0647 Vip Gaba_6,8.17E-05,
0680 Sncg Gaba_5,8.17E-05,
0858 Sst Chodl Gaba_4,8.17E-05,
0075 L4/5 IT CTX Glut_2,7.72E-05,
0776 Sst Gaba_4,7.72E-05,
0113 L2/3 IT CTX Glut_3,6.81E-05,
0739 Pvalb Gaba_2,6.36E-05,
0002 CLA-EPd-CTX Car3 Glut_1,5.45E-05,
0665 Sncg Gaba_1,5.45E-05,
0809 Sst Gaba_12,5.45E-05,
2004 MEA-COA-BMA Ccdc42 Glut_2,5.45E-05,
0065 L5 IT CTX Glut_5,4.99E-05,
0104 L2/3 IT CTX Glut_1,4.99E-05,
0377 L5 ET CTX Glut_5,4.99E-05,
0666 Sncg Gaba_1,4.99E-05,
0766 Sst Gaba_2,4.99E-05,
0812 Sst Gaba_14,4.99E-05,
0007 IT EP-CLA Glut_1,4.54E-05,
0033 L6 IT CTX Glut_1,4.54E-05,
0049 L6 IT CTX Glut_4,4.54E-05,
0103 L2/3 IT CTX Glut_1,4.54E-05,
0372 L5 ET CTX Glut_4,4.54E-05,
0626 Vip Gaba_1,4.54E-05,
0634 Vip Gaba_3,4.54E-05,
0711 Lamp5 Gaba_1,4.54E-05,
0796 Sst Gaba_8,4.54E-05,
0184 IT AON-TT-DP Glut_5,4.09E-05,
0679 Sncg Gaba_5,4.09E-05,
1003 STR-PAL Chst9 Gaba_1,4.09E-05,
0005 CLA-EPd-CTX Car3 Glut_2,3.63E-05,
0089 L4/5 IT CTX Glut_4,3.63E-05,
0375 L5 ET CTX Glut_5,3.63E-05,
0430 L6b CTX Glut_2,3.63E-05,
0462 L5 NP CTX Glut_1,3.63E-05,
0636 Vip Gaba_4,3.63E-05,
0755 Pvalb Gaba_9,3.63E-05,
0821 Sst Gaba_16,3.63E-05,
0825 Sst Gaba_18,3.63E-05,
2003 MEA-COA-BMA Ccdc42 Glut_1,3.63E-05,
0059 L5 IT CTX Glut_2,3.18E-05,
0362 L5 ET CTX Glut_2,3.18E-05,
0378 L5 ET CTX Glut_5,3.18E-05,
0453 L6 CT CTX Glut_5,3.18E-05,
0460 CT SUB Glut_2,3.18E-05,
0745 Pvalb Gaba_4,3.18E-05,
0816 Sst Gaba_15,3.18E-05,
0817 Sst Gaba_15,3.18E-05,
2006 MEA-COA-BMA Ccdc42 Glut_3,3.18E-05,
0051 L6 IT CTX Glut_4,2.72E-05,
0183 IT AON-TT-DP Glut_5,2.72E-05,
0379 L5 ET CTX Glut_6,2.72E-05,
0571 OB-out Frmd7 Gaba_1,2.72E-05,
0770 Sst Gaba_3,2.72E-05,
0815 Sst Gaba_15,2.72E-05,
0850 Sst Chodl Gaba_2,2.72E-05,
0343 L2/3 IT RSP Glut_2,2.27E-05,
0371 L5 ET CTX Glut_4,2.27E-05,
0374 L5 ET CTX Glut_4,2.27E-05,
0628 Vip Gaba_2,2.27E-05,
0715 Lamp5 Gaba_2,2.27E-05,
0768 Sst Gaba_3,2.27E-05,
0807 Sst Gaba_12,2.27E-05,
0950 STR D1 Gaba_3,2.27E-05,
0006 IT EP-CLA Glut_1,1.82E-05,
0010 IT EP-CLA Glut_1,1.82E-05,
0011 IT EP-CLA Glut_1,1.82E-05,
0376 L5 ET CTX Glut_5,1.82E-05,
0424 L6b CTX Glut_1,1.82E-05,
0452 L6 CT CTX Glut_5,1.82E-05,
0650 Vip Gaba_7,1.82E-05,
0738 Pvalb Gaba_2,1.82E-05,
0115 L2/3 IT CTX Glut_3,1.36E-05,
0146 L2/3 IT PIR-ENTl Glut_2,1.36E-05,
0185 IT AON-TT-DP Glut_5,1.36E-05,
0349 L5 ET CTX Glut_1,1.36E-05,
0373 L5 ET CTX Glut_4,1.36E-05,
0410 L6b/CT ENT Glut_1,1.36E-05,
0454 L6 CT CTX Glut_5,1.36E-05,
0507 DG Glut_2,1.36E-05,N
0630 Vip Gaba_2,1.36E-05,N
0713 Lamp5 Gaba_1,1.36E-05,N
0773 Sst Gaba_3,1.36E-05,N
0775 Sst Gaba_3,1.36E-05,N
0822 Sst Gaba_17,1.36E-05,N
0849 Sst Chodl Gaba_2,1.36E-05,N
0981 STR D2 Gaba_4,1.36E-05,N
0982 STR D2 Gaba_4,1.36E-05,N
