class,proportion
01 IT-ET Glut,0.6536585808865599
02 NP-CT-L6b Glut,0.19735539591866388
03 OB-CR Glut,0.00013622617177212087
04 DG-IMN Glut,1.3622617177212087e-05
05 OB-IMN GABA,0.00012260355459490878
06 CTX-CGE GABA,0.0538819918082662
07 CTX-MGE GABA,0.09270645076332065
08 CNU-MGE GABA,0.001911707277202096
09 CNU-LGE GABA,9.081744784808057e-05
13 CNU-HYa Glut,0.00012260355459490878
