,gene,global_bin,present,avg_exp
0,Xkr4,0.528445530280819,0.9114700629028502,0.8267279296588783
1,Gm1992,0.5314864475937082,0.0,0.0
2,Gm19938,0.3232384922165481,0.8557505630193368,0.33504319311257325
3,Gm37381,0.9986604639974777,0.0,0.0
4,Rp1,0.9860808719214521,0.0,0.0
5,Sox17,0.9994637911078077,0.0,0.0
6,Gm37587,0.9991976494422717,0.0,0.0
7,Gm37323,1.0,0.0,0.0
8,Mrpl15,0.4393966155390408,0.0,0.0
9,Lypla1,0.2866492291107546,0.1738370738526054,0.3274122736672348
10,Tcea1,0.34407290565174153,0.9635008154073155,0.23452675317050964
11,Rgs20,0.5021283543958355,0.07851207579405141,0.45213158431778544
12,Gm16041,0.999195148724119,0.0,0.0
13,Atp6v1h,0.29677136363631007,0.8908907354197407,0.21710554940150018
14,Oprk1,0.9644273844103444,0.0,0.0
15,Npbwr1,0.9951918791830842,0.0,0.0
16,Rb1cc1,0.11853365253406059,0.47215966451813307,0.2104733329043651
17,4732440D04Rik,0.8624714368118367,0.0,0.0
18,Alkal1,0.9973231965629221,0.0,0.0
19,St18,0.96709315005352,0.0,0.0
20,Pcmtd1,0.6612284305942113,0.9880406927079289,0.5943617188901464
21,Gm26901,0.7947638521319266,0.0,0.0
22,Gm30414,0.9986600470122895,0.0,0.0
23,Sntg1,0.4701005956686974,0.6299603945018251,1.0365672495476042
24,Rrs1,0.5982956370853765,0.0,0.0
25,Adhfe1,0.9148995111264709,0.0,0.0
26,2610203C22Rik,0.9764480614254855,0.0,0.0
27,Vxn,0.6687164020252295,0.02325852294789159,0.5225712922351673
28,Gm29520,1.0,0.0,0.0
29,Mybl1,0.9454135835973645,0.0,0.0
30,Vcpip1,0.21356555880745726,0.6085268307835676,0.2258545337314336
31,1700034P13Rik,0.9526305998144696,0.0,0.0
32,Sgk3,0.7498172492480455,0.0,0.0
33,Mcmdc2,0.8348919361827096,0.0,0.0
34,Snhg6,0.1214930730525983,0.4742952551060029,0.11183575446968441
35,Tcf24,0.9957180906309386,0.0,0.0
36,Ppp1r42,0.9895643295207216,0.0,0.0
37,Gm15818,0.9997316036071386,0.0,0.0
38,Cops5,0.1761048582055071,0.126698765240351,0.17707147618931718
39,Cspp1,0.3639149975362674,0.9297973130387513,0.2473811034705612
40,Arfgef1,0.394201474830075,0.9721596645181332,0.41555913689137425
41,Cpa6,0.9614746760808488,0.0,0.0
42,Prex2,0.8382853234465448,0.009746058864642386,0.7431625332152169
43,A830018L16Rik,0.558816927173386,0.6809815950920246,1.6905383235177343
44,Gm17644,1.0,0.0,0.0
45,Gm29663,1.0,0.0,0.0
46,Sulf1,0.970027835912467,0.0,0.0
47,Slco5a1,0.9472830724267501,0.0,0.0
48,Gm29283,0.9986600136265326,0.0,0.0
49,Prdm14,0.9986626836293289,0.0,0.0
50,Ncoa2,0.16808762704670657,0.8750873650695039,0.2548635862021431
51,Gm29570,0.9788515936706009,0.0,0.0
52,Tram1,0.37755754391868457,0.18548574978644095,0.3773944851497057
53,Lactb2,0.6729859775799526,0.0,0.0
54,Xkr9,0.9991967276609836,0.0,0.0
55,Eya1,0.7981900462185614,0.0,0.0
56,Gm9947,0.926957016437667,0.0,0.0
57,Msc,0.9411339679075885,0.0,0.0
58,Trpa1,0.99732605006069,0.0,0.0
59,Kcnb2,0.44235801683408366,0.31311640910149874,1.6976591590879762
60,Terf1,0.4338158359355294,0.0,0.0
61,Sbspon,0.9780968335402319,0.0,0.0
62,4930444P10Rik,0.9162897172174338,0.0,0.0
63,Rpl7,0.29459260330079573,0.7964199735963347,0.498863480668831
64,Rdh10,0.8065285314169816,0.0,0.0
65,Gm28095,0.9922334623476722,0.0,0.0
66,Stau2,0.6938822577333524,1.0,2.0191592278063566
67,Gm7568,0.9860849683919243,0.0,0.0
68,Ube2w,0.5667545379031045,1.0,1.303189216549189
69,Eloc,0.4064582982598624,0.9847014056068961,0.3114497799038507
70,D030040B21Rik,0.9986627077693091,0.0,0.0
71,Tmem70,0.2796185249072179,0.12398074085578938,0.21743414418031726
72,Ly96,0.9389849330912263,0.0,0.0
73,Gm28376,0.7251287898564233,0.0,0.0
74,Jph1,0.6242430711225683,0.0,0.0
75,Gm28783,1.0,0.0,0.0
76,Gdap1,0.309662361648849,0.9790323833190961,0.35725090440716967
77,Gm28784,0.9852829597213126,0.0,0.0
78,Pi15,0.9818066275411311,0.0,0.0
79,Gm28154,0.9177995175249669,0.0,0.0
80,Gm16070,0.7574623547107037,0.17170148326473555,1.0220161050842589
81,Crispld1,0.8190349002719495,0.17170148326473555,1.4933342997583745
82,Gm28153,0.8174495757141756,0.0,0.0
83,Gm28756,0.6767320368628874,0.0,0.0
84,Crisp4,0.9994660176277738,0.0,0.0
85,Defb18,1.0,0.0,0.0
86,Defb41,1.0,0.0,0.0
87,Gm15825,1.0,0.0,0.0
88,Tfap2d,0.998661384662452,0.0,0.0
89,Tfap2b,0.9981262247325013,0.0,0.0
90,Gm28340,1.0,0.0,0.0
91,Pkhd1,0.9911686792694623,0.0,0.0
92,4930486I03Rik,1.0,0.0,0.0
93,Gm28653,0.9991991616305071,0.0,0.0
94,Il17a,1.0,0.0,0.0
95,Il17f,0.9994655946274315,0.0,0.0
96,Mcm3,0.999732235769201,0.0,0.0
97,Gm28065,1.0,0.0,0.0
98,6720483E21Rik,0.9901072648767671,0.0,0.0
99,Paqr8,0.6294049731553913,0.03684864487069969,0.46375695120495763
100,Efhc1,0.9871530207023156,0.0,0.0
101,Tram2,0.9753734611917714,0.0,0.0
102,Gm28287,1.0,0.0,0.0
103,Tmem14a,0.3216253821345541,0.009318940747068417,0.184519261139855
104,Gsta3,0.9641358102588631,0.0,0.0
105,Gm28836,0.9909027689593454,0.0,0.0
106,Khdc1a,1.0,0.0,0.0
107,Khdc1c,1.0,0.0,0.0
108,Khdc1b,0.999732321675268,0.0,0.0
109,Kcnq5,0.567322917685511,0.5698532266832337,2.04404935310218
110,Rims1,0.4480417085387126,0.3395589034713054,1.0827548917238534
111,Gm29506,0.9887621175059544,0.0,0.0
112,4933415F23Rik,0.9994644715384019,0.0,0.0
113,Gm27028,1.0,0.0,0.0
114,Gm29107,0.9649411047907005,0.0,0.0
115,Ogfrl1,0.29784870722699136,0.7962258289974374,0.6343261409841932
116,Gm28822,0.9997326099387915,0.0,0.0
117,B3gat2,0.7819793843795413,0.11097305272967306,1.3582862357099144
118,Smap1,0.4481562120451912,0.9721596645181332,0.3901623607900615
119,Sdhaf4,0.16480845314410944,0.372446998524501,0.19181423564821376
120,Fam135a,0.22236906892985372,0.7332841500349461,0.2765620125605215
121,Col9a1,0.9962569057181266,0.0,0.0
122,Col19a1,0.6663356847407084,0.7893919391162539,1.6491916079893842
123,Lmbrd1,0.41534039931533095,0.9475421293779608,0.5038501298237452
124,Gm28237,1.0,0.0,0.0
125,Gm29414,1.0,0.0,0.0
126,Adgrb3,0.6392052687872465,0.6969791100411588,1.4492385650570214
127,4931408C20Rik,0.9997322366308691,0.0,0.0
128,Gm5524,0.9997323578029489,0.0,0.0
129,Gm597,1.0,0.0,0.0
130,Gm9898,1.0,0.0,0.0
131,Phf3,0.2943236146918446,0.935000388289198,0.13355316503295134
132,Ptp4a1,0.999197117160393,0.0,0.0
133,Ptp4a1,0.999197117160393,0.0,0.0
134,Gm5698,1.0,0.0,0.0
135,4931428L18Rik,0.994111592936454,0.0,0.0
136,Gm28644,1.0,0.0,0.0
137,Gm29128,0.9997328285336278,0.0,0.0
138,Lgsn,0.9994645478301122,0.0,0.0
139,Pih1d3,1.0,0.0,0.0
140,Khdrbs2,0.5598736297663407,0.0820455074939815,0.8270235824609249
141,Gm5415,0.9981251776086145,0.0,0.0
142,Gm37724,0.9991983945752462,0.0,0.0
143,Gm37591,1.0,0.0,0.0
144,Prim2,0.744437216063576,0.0,0.0
145,Rab23,0.6149378777296927,0.0,0.0
146,Bag2,0.6052703166790563,0.0,0.0
147,Zfp451,0.18756201730228086,0.8129999223421606,0.13094766905245658
148,Bend6,0.6705860516791146,1.0,2.053423604406425
149,Dst,0.7610598082360163,1.0,2.257491106885907
150,Gm26788,0.9860892367256401,0.0,0.0
151,Gm37958,1.0,0.0,0.0
152,Gm37233,0.9959857624443074,0.0,0.0
153,Ccdc115,0.6534346329624902,0.0,0.0
154,Gm28306,1.0,0.0,0.0
155,Imp4,0.6679321874499669,0.0,0.0
156,Ptpn18,0.9793929267899103,0.0,0.0
157,Gm28417,0.9997319401080287,0.0,0.0
158,4930568A12Rik,0.9975909617697517,0.0,0.0
159,Prss39,1.0,0.0,0.0
160,Cfc1,0.9994632072142772,0.0,0.0
161,Prss40,1.0,0.0,0.0
162,1700101I19Rik,1.0,0.0,0.0
163,Amer3,0.8319796829464996,0.0,0.0
164,Arhgef4,0.25052845854924544,0.5287334006367942,0.5087790748958189
165,Arhgef4,0.25052845854924544,0.5287334006367942,0.5087790748958189
166,Gm38336,0.9898341012450125,0.0,0.0
167,Fam168b,0.2930642317093287,0.8106313582356139,0.466765919771573
168,Plekhb2,0.6866440627384827,1.0,1.590268607640235
169,Gm37068,0.9989295584527115,0.0,0.0
170,Gm28415,0.9997322366308691,0.0,0.0
171,1110002O04Rik,0.9844767246349381,0.0,0.0
172,Gm37146,1.0,0.0,0.0
173,Gm33222,0.9989309047800358,0.0,0.0
174,4930535G08Rik,1.0,0.0,0.0
175,Hs6st1,0.3347077014832357,0.03816882814320105,0.17162686506656977
176,Gm37335,0.9978621284896789,0.0,0.0
177,Gm33280,0.9975924704398511,0.0,0.0
178,Uggt1,0.2293363527242448,0.3515182107633765,0.2464299194417593
179,Neurl3,0.999732235769201,0.0,0.0
180,Arid5a,0.7791762497117378,0.0,0.0
181,4930403P22Rik,0.9668204402932086,0.0,0.0
182,Kansl3,0.22337911523343282,0.2320027956822241,0.22355308876476715
183,Fer1l5,0.9970536921284062,0.0,0.0
184,Lman2l,0.4784922768581743,0.015298594393103982,0.2908086167395773
185,Cnnm4,0.7704170498013644,0.0,0.0
186,Cnnm3,0.6042782712283484,0.0,0.0
187,Gm38033,0.9991973039546139,0.0,0.0
188,Ankrd23,0.9569248118928054,0.0,0.0
189,Ankrd39,0.6756981478985051,0.0,0.0
190,Sema4c,0.9387554189763744,0.0,0.0
191,D430040D24Rik,0.9815394924420867,0.0,0.0
192,Fam178b,0.9997328966027911,0.0,0.0
193,Cox5b,0.3426016108408596,0.686339986021589,0.6047599145734672
194,Actr1b,0.5025442397058439,0.8769123242991381,0.5929926666923521
195,4933424G06Rik,0.9689747103065407,0.0,0.0
196,Gm33533,0.9868977095311008,0.0,0.0
197,Zap70,0.9943800107670591,0.0,0.0
198,Tmem131,0.13511486092016667,0.2833734565504388,0.14501948157725175
199,Gm38115,0.9611953251466654,0.0,0.0
200,Vwa3b,0.9975918294479271,0.0,0.0
201,Gm37020,0.999732235769201,0.0,0.0
202,Cnga3,0.9962538157893173,0.0,0.0
203,Inpp4a,0.22159214695116364,0.27661722450881415,0.36063366951399023
204,4930439A04Rik,0.9994635158527129,0.0,0.0
205,Coa5,0.31470052206785637,0.21887862079676942,0.2469955922718477
206,Unc50,0.5012155332893208,0.0,0.0
207,Mgat4a,0.5539537585465628,0.0,0.0
208,2010300C02Rik,0.6620816425347904,0.0,0.0
209,4930556I23Rik,1.0,0.0,0.0
210,Tsga10,0.32992728328414084,0.0,0.0
211,Gm26805,0.9705716964357838,0.0,0.0
212,Lipt1,0.9604005511689271,0.0,0.0
213,Mitd1,0.6967838953961699,0.0,0.0
214,Mrpl30,0.33232665970694847,0.9889725867826358,0.2638823311049002
215,Lyg2,0.9994652925669131,0.0,0.0
216,Gm15457,0.9983971306105179,0.0,0.0
217,Lyg1,0.9997323362128737,0.0,0.0
218,Txndc9,0.45600433776848304,0.0,0.0
219,Eif5b,0.39601379436812073,1.0,1.6107041434007856
220,Rev1,0.11641920968504295,0.3652636483653024,0.08782161705702307
221,Gm37062,0.9994644732617382,0.0,0.0
222,Gm5099,1.0,0.0,0.0
223,Aff3,0.34143329257443755,0.7483497709093733,0.6102290967172821
224,Gm16150,0.9943817015952496,0.0,0.0
225,Gm16151,0.9983959812809721,0.0,0.0
226,Gm16152,0.8696938451705865,0.0,0.0
227,Lonrf2,0.12441816803212474,0.7797623670109498,0.2505243643259927
228,Chst10,0.21035289752511804,0.20319173720587094,0.17523685594882527
229,Gm37707,0.9997330919631968,0.0,0.0
230,Nms,1.0,0.0,0.0
231,Pdcl3,0.21572305765939348,0.1473169216432399,0.22149531112710463
232,Gm37821,1.0,0.0,0.0
233,Npas2,0.331437022032299,0.2732002795682224,0.38305148484037216
234,Rpl31,0.370653162483435,0.97876058088064,0.49295854110693593
235,Tbc1d8,0.6936231186577216,0.020967616680903935,0.5610469023175458
236,Cnot11,0.6122533673916376,0.0,0.0
237,Gm15832,0.9280125540450107,0.0,0.0
238,Rnf149,0.5860087676092389,0.0,0.0
239,Creg2,0.2681187905120661,0.3502368564106546,0.342446139771651
240,D930019O06Rik,0.9847540778346688,0.0,0.0
241,Rfx8,0.9962551457749169,0.0,0.0
242,Gm3646,1.0,0.0,0.0
243,1700066B17Rik,1.0,0.0,0.0
244,Map4k4,0.15067249285464107,0.364448241049934,0.19588227870942154
245,Il1r2,0.9874223520597948,0.0,0.0
246,Gm16894,0.7808460020400304,0.0,0.0
247,Il1r1,0.9279983803712472,0.0,0.0
248,Il1rl2,0.9847364997266745,0.0,0.0
249,Il1rl1,1.0,0.0,0.0
