cluster,proportion
0357 L5 ET CTX Glut_1,0.000158930533734141
0358 L5 ET CTX Glut_1,0.0003496471742151102
0359 L5 ET CTX Glut_2,0.00018163489569616114
0360 L5 ET CTX Glut_2,0.0019162481495945002
0361 L5 ET CTX Glut_2,8.627657545567654e-05
0362 L5 ET CTX Glut_2,3.17861067468282e-05
0363 L5 ET CTX Glut_2,0.0006493447521137761
0364 L5 ET CTX Glut_2,0.025142810436741107
0365 L5 ET CTX Glut_3,0.00010444006502529266
0366 L5 ET CTX Glut_3,0.000317861067468282
0367 L5 ET CTX Glut_3,8.627657545567654e-05
0368 L5 ET CTX Glut_3,8.627657545567654e-05
0369 L5 ET CTX Glut_3,0.00023612536440500948
0371 L5 ET CTX Glut_4,2.2704361962020142e-05
0372 L5 ET CTX Glut_4,4.5408723924040284e-05
0373 L5 ET CTX Glut_4,1.3622617177212087e-05
0374 L5 ET CTX Glut_4,2.2704361962020142e-05
0375 L5 ET CTX Glut_5,3.632697913923223e-05
0376 L5 ET CTX Glut_5,1.8163489569616114e-05
0377 L5 ET CTX Glut_5,4.9949596316444315e-05
0378 L5 ET CTX Glut_5,3.17861067468282e-05
0379 L5 ET CTX Glut_6,2.7245234354424173e-05
0381 L5 ET CTX Glut_6,0.00011352180981010072
0410 L6b/CT ENT Glut_1,1.3622617177212087e-05
0424 L6b CTX Glut_1,1.8163489569616114e-05
0425 L6b CTX Glut_1,0.0035872891899991826
0426 L6b CTX Glut_1,0.0027063599458728013
0427 L6b CTX Glut_2,0.0002088801300505853
0429 L6b CTX Glut_2,0.002234109217062782
0430 L6b CTX Glut_2,3.632697913923223e-05
0431 L6b CTX Glut_3,0.0007356213275694527
0432 L6b CTX Glut_3,0.0010353189054681186
0433 L6b CTX Glut_3,0.0018481350637084397
0434 L6b CTX Glut_3,0.0009899101815440783
0435 L6b CTX Glut_4,0.0005948542834049278
0436 L6 CT CTX Glut_1,0.016238159675236806
0437 L6 CT CTX Glut_1,0.0007356213275694527
0438 L6 CT CTX Glut_1,0.0015393557410249656
0439 L6 CT CTX Glut_1,0.004223011324935746
0440 L6 CT CTX Glut_1,0.0007447030723542607
0441 L6 CT CTX Glut_2,0.0009853693091516741
0442 L6 CT CTX Glut_2,0.04755201569325499
0443 L6 CT CTX Glut_2,0.04874626513245725
0444 L6 CT CTX Glut_2,0.024511629174196945
0445 L6 CT CTX Glut_3,0.0016256323164806422
0446 L6 CT CTX Glut_3,0.0001907166404809692
0447 L6 CT CTX Glut_3,0.0007174578379998365
0448 L6 CT CTX Glut_3,0.00010898093741769669
0449 L6 CT CTX Glut_3,9.081744784808057e-05
0450 L6 CT CTX Glut_4,0.00015438966134173696
0452 L6 CT CTX Glut_5,1.8163489569616114e-05
0453 L6 CT CTX Glut_5,3.17861067468282e-05
0454 L6 CT CTX Glut_5,1.3622617177212087e-05
0455 L6 CT CTX Glut_5,0.003491930869758698
0456 L6 CT CTX Glut_5,0.0013985886968604408
0457 L6 CT CTX Glut_6,0.001080727629392159
0458 CT SUB Glut_1,0.00010444006502529266
