,index,gene,global_bin,present,avg_exp
0,35,Kcnq5,0.5444950356203982,0.6859122401847575,2.594064666049671
1,44,Khdrbs2,0.5347800173575737,0.7212141207522269,1.5846223562533956
2,48,Bend6,0.6969935995530785,0.7297921478060045,1.25825668050101
3,69,Cox5b,0.5748858990861394,0.7090069284064666,1.1953107966068761
4,70,Actr1b,0.5275431800574802,0.792147806004619,0.8324975243363455
5,154,Nrp2,0.6356494716293503,0.7937974265918838,1.5184065056751042
6,177,Erbb4,0.5914448772773317,0.49389640382711975,3.090786202796772
7,178,Vwc2l,0.510009241539425,0.7479379742659188,1.5383625083607377
8,225,Scg2,0.5755554137270448,0.7271527548663808,1.861168023685674
9,228,Serpine2,0.6025741651755114,0.22533817222038932,1.5333691564481742
10,238,Sphkap,0.5219810668044814,0.558891454965358,1.7965110491594198
11,316,Cntnap5b,0.5567056261684501,0.6407126360936983,2.3948753116766097
12,344,Lypd1,0.6023797225305283,0.22896733751237214,1.7751842799834912
13,345,Tmem163,0.820124370819808,0.5004948861761794,2.607774113482293
14,352,Thsd7b,0.5574385291681475,0.5489937314417683,2.167076009552396
15,382,Atp2b4,0.6452365429491345,0.7961068954140548,1.785001124360639
16,398,Timm17a,0.504825440698371,0.7763114483668756,0.7880649326558975
17,453,Rgs8,0.5848113615200157,0.5664797096667766,1.1034227297536436
18,582,Stum,0.6630649371878155,0.22698779280765424,1.1553563986122868
19,676,Celf2,0.5698887388651184,0.6294952161002969,1.4177528237047423
20,683,Atp5c1,0.5189455457027673,0.7139557901682614,0.8202998441886638
21,700,Plxdc2,0.5395297631992234,0.6047509072913231,1.7526611345165324
22,738,Grin1,0.5242656250338973,0.7825800065984824,0.6699825949015552
23,758,Nacc2,0.5895453201751006,0.7644341801385681,1.4509177047793376
24,859,Lmx1b,0.8612013011963537,0.2157703728142527,1.7573880364743333
25,860,C130021I20Rik,0.8390740660082311,0.24645331573738039,1.168102375211828
26,866,Pbx3,0.5286283242009113,0.4628835367865391,1.8178864129656678
