,gene,score
0,0610005C13Rik,0.08131733311956714
1,0610006L08Rik,0.2579665492664004
2,0610009B22Rik,0.18834669430592504
3,0610009E02Rik,0.12254758335969844
4,0610009L18Rik,0.13042081734347968
5,0610010F05Rik,0.2192923951030516
6,0610010K14Rik,0.18640360107223725
7,0610012D04Rik,0.03284495325371214
8,0610012G03Rik,0.28864835478506395
9,0610025J13Rik,0.06282763669276206
10,0610030E20Rik,0.17047364859057404
11,0610031O16Rik,0.049590369749238444
12,0610033M10Rik,0.044446633199239485
13,0610038B21Rik,0.06721217146418043
14,0610039K10Rik,0.058475733275494914
15,0610040B10Rik,0.14118776846303738
16,0610040F04Rik,0.1918845537756134
17,0610040J01Rik,0.22345199012504238
18,0610043K17Rik,0.23478660863391454
19,0710001A04Rik,0.07737207182293097
20,1010001B22Rik,0.06447361476099103
21,1010001N08Rik,0.04853895500870676
22,1100001I12Rik,0.08709421515557265
23,1110002E22Rik,0.15573911503914412
24,1110002J07Rik,0.11476354219330302
25,1110002L01Rik,0.14646199548584068
26,1110002O04Rik,0.05778667222044108
27,1110004F10Rik,0.25958773797343726
28,1110006O24Rik,0.08985034293559083
29,1110008E08Rik,0.07419477115210928
30,1110008P14Rik,0.35316209544270327
31,1110012L19Rik,0.11151230584445823
32,1110013H19Rik,0.07788498030606836
33,1110015O18Rik,0.3699270660919306
34,1110017D15Rik,0.15959077718066467
35,1110018N20Rik,0.11199268185601788
36,1110019B22Rik,0.038557697789744536
37,1110019D14Rik,0.18274974241841296
38,1110020A21Rik,0.097384921462356
39,1110025L11Rik,0.0
40,1110028F11Rik,0.038805553979937735
41,1110028F18Rik,0.033789252418589426
42,1110032A03Rik,0.20491142858502806
43,1110032F04Rik,0.2737129036745691
44,1110035H17Rik,0.09990012778043797
45,1110038B12Rik,0.1927481971699036
46,1110038F14Rik,0.14387691320671694
47,1110046J04Rik,0.17099882182017173
48,1110051M20Rik,0.28000129980247346
49,1110057P08Rik,0.0
50,1110059E24Rik,0.18591452810533154
51,1110059G10Rik,0.1388317590413715
52,1110065P20Rik,0.2729460565902864
53,1190001M18Rik,0.01566668688737231
54,1190005I06Rik,0.16868363161047356
55,1190007I07Rik,0.15151564028481532
56,1190028D05Rik,0.06966499436523024
57,1200007C13Rik,0.05775387164908129
58,1300002E11Rik,0.12329316714406428
59,1300014J16Rik,0.08347273846524551
60,1300017J02Rik,0.09850902599548042
61,1500002C15Rik,0.1094990375184159
62,1500002F19Rik,0.08322086877069967
63,1500004A13Rik,0.25002926380371787
64,1500009C09Rik,0.3591341051237671
65,1500009L16Rik,0.4791549160123349
66,1500011B03Rik,0.3729542133901129
67,1500012K07Rik,0.09237072965383607
68,1500015A07Rik,0.13882873052408093
69,1500015L24Rik,0.14450308854373436
70,1500026H17Rik,0.15419763285462393
71,1500032F14Rik,0.09230375974391732
72,1500035N22Rik,0.2178008303274924
73,1520401A03Rik,0.06970751316723686
74,1600002D24Rik,0.10457731439510605
75,1600002K03Rik,0.11968249024335742
76,1600010M07Rik,0.223901217666234
77,1600012H06Rik,0.12691139016577535
78,1600012P17Rik,0.05610743998705788
79,1600014C10Rik,0.1656249503121447
80,1600014C23Rik,0.08040662422344683
81,1600019K03Rik,0.06379825247318342
82,1600020E01Rik,0.19213350534150292
83,1600022D10Rik,0.06540728332914181
84,1600025M17Rik,0.07469503168006397
85,1600027J07Rik,0.02892586138841658
86,1700001C02Rik,0.04556895047176331
87,1700001C19Rik,0.22438921007660656
88,1700001D01Rik,0.07767474557107465
89,1700001F09Rik,0.10090495482825021
90,1700001G01Rik,0.08054220768542647
91,1700001G11Rik,0.10798306229707515
92,1700001J03Rik,0.0554505245972504
93,1700001J04Rik,0.05651298726224833
94,1700001K19Rik,0.09999442282646694
95,1700001K23Rik,0.06769452589463046
96,1700001L05Rik,0.08899824098188651
97,1700001L19Rik,0.2913790756932781
98,1700001N15Rik,0.04437801720928698
99,1700001O22Rik,0.13190982074011123
100,1700001P01Rik,0.06878372481383313
101,1700003C15Rik,0.030793502120426135
102,1700003D09Rik,0.07524613906094818
103,1700003E16Rik,0.15552502539368046
104,1700003E24Rik,0.0
105,1700003F12Rik,0.1864183792754776
106,1700003G18Rik,0.09723153419019442
107,1700003H04Rik,0.06213816155362645
108,1700003I16Rik,0.043751424376268264
109,1700003I22Rik,0.0
110,1700003L19Rik,0.15181385517695403
111,1700003M07Rik,0.1253048797270675
112,1700003O11Rik,0.045168978298858395
