,gene,score
0,6330411D24Rik,0.9579846358831464
1,Ahi1,0.9607943391585549
2,Arpp21,0.9600265532173027
3,Atp1b1,0.9586754066070439
4,Baiap3,0.9587290054631142
5,Bcl11a,0.9582573958698795
6,Bcl11b,0.9591385544237105
7,Cadm2,0.9592697963279886
8,Cdh13,0.9578408103048822
9,Cdh18,0.9564122539449951
10,Celf2,0.95986020665356
11,Chrm3,0.9569448668489279
12,Clstn2,0.9574717350129675
13,Cntn5,0.9567947043587502
14,Cntnap2,0.9585104040337559
15,Cntnap4,0.9591933124284631
16,Cntnap5a,0.9577034246853511
17,Cntnap5b,0.9575009125731153
18,Cplx1,0.9586463487921332
19,Csmd1,0.9584254576296007
20,D030068K23Rik,0.9579427019340466
21,Dab1,0.9583588151113753
22,Dcc,0.9587537512452532
23,Dlgap1,0.9583576167311133
24,Ebf2,0.9535990099591636
25,Egfem1,0.9572421263610431
26,Epha5,0.9577011585729862
27,Gabra1,0.9576676333615358
28,Galnt13,0.9581848434600735
29,Gria1,0.9591359511037417
30,Grid2,0.958570038765182
31,Grik1,0.95812636922089
32,Grik2,0.9575294256093974
33,Grm7,0.9589426846106198
34,Grm8,0.9563505022622171
35,Hcn1,0.9580248454924024
36,Hoxa5,0.9535276264239342
37,Hoxb3,0.954762721873773
38,Hoxb4,0.9532838638794487
39,Hoxc4,0.9552024742735425
40,Hoxd3,0.9541827915740663
41,Hs6st3,0.9569807229160122
42,Kcnb2,0.9575595065243054
43,Kcnip4,0.9594290477958575
44,Lrp1b,0.9574074537153465
45,Lrrc4c,0.9591356311844803
46,Lsamp,0.9577894063685503
47,Lypd1,0.9551917852944493
48,Mab21l2,0.9563940427719895
49,Mgat4c,0.9589144060152015
50,Mpped2,0.9593321331935681
51,Necab1,0.9582033571446602
52,Negr1,0.958646104422993
53,Nr2f2,0.9580569111392699
54,Nrg1,0.9586305973592865
55,Ntm,0.9579221940626057
56,Ntng1,0.9587004679768472
57,Nxph1,0.9598737697954174
58,Nxph4,0.9565069196956884
59,Onecut2,0.9585625689442396
60,Opcml,0.9591226859957873
61,Oprm1,0.9586071341747948
62,Pbx3,0.9585155660682886
63,Pcdh11x,0.9560032146711076
64,Pcdh15,0.9580150743517984
65,Pcdh17,0.958740892480833
66,Pcdh7,0.9591525347648477
67,Pcp4,0.960125390392789
68,Pdzrn4,0.9586286879734464
69,Ppp3ca,0.9584012457526832
70,Prkcb,0.9571168680595047
71,Prkg1,0.9579783769444908
72,Ptprd,0.9576118034855555
73,Ptprt,0.9584758999295702
74,Rab3c,0.9588310118655835
75,Rbfox1,0.9586000299424278
76,Rmst,0.9577603008709136
77,Robo1,0.959348984339328
78,Robo2,0.9582134083484005
79,Runx1t1,0.9577192537924505
80,Scn1a,0.9585230400377577
81,Sdk1,0.9568305167097894
82,Slc8a1,0.9585102837968656
83,Snca,0.9582465377125523
84,Sorcs3,0.9580418413707767
85,Syt2,0.958754428396872
86,Unc13c,0.9581117402822957
87,Vamp1,0.95808950049521
88,Vsnl1,0.9583480211274662
89,Zfhx4,0.956724271787239
