n_labels,accs,bits
124,0.8977955911823647,6.081664060199813
123,0.8983967935871743,5.989459404135542
122,0.8989979959919839,5.985408553327654
121,0.9002004008016031,5.975841986858009
120,0.9014028056112224,5.969791634068138
119,0.9024048096192386,5.96153571276574
117,0.903807615230461,5.950665302558182
116,0.9046092184368737,5.9420885788777165
115,0.9084168336673347,5.915173757626451
114,0.9092184368737474,5.909870643133453
113,0.9112224448897794,5.900484119499526
111,0.9134268537074147,5.882203347895549
110,0.9168336673346694,5.856398958982797
107,0.9210420841683366,5.81229050429641
106,0.9214428857715431,5.807245634841478
105,0.9224448897795593,5.797859111207553
104,0.9240480961923847,5.780426995887406
96,0.9292585170340683,5.69185835063936
95,0.9302605210420841,5.680637767027893
94,0.9324649298597194,5.666527132756305
93,0.9336673346693388,5.645776021449835
91,0.9374749498997996,5.593367315876863
90,0.9382765531062123,5.582798138377925
89,0.9396793587174349,5.564718064876567
88,0.9414829659318638,5.534681758021248
87,0.9446893787575151,5.493402401609322
86,0.9452905811623248,5.482773747539303
82,0.9492985971943888,5.419025540908478
81,0.9507014028056112,5.394889133031066
80,0.9511022044088175,5.386988670499592
79,0.9515030060120239,5.378017623432123
78,0.9519038076152306,5.371081723044352
77,0.9531062124248498,5.344434576680861
69,0.9549098196392786,5.270610852907092
68,0.9591182364729459,5.189989597226452
66,0.9599198396793588,5.157377758028228
65,0.9605210420841684,5.137410854644036
64,0.9617234468937876,5.088900412553852
61,0.9623246492985972,5.05070273735163
60,0.9627254509018037,5.036290831929287
59,0.9637274549098198,4.994300389777509
57,0.9669338677354709,4.890862971833474
56,0.9721442885771543,4.731888666900749
55,0.9729458917835672,4.710482619545873
54,0.9741482965931864,4.652501576397584
53,0.9751503006012024,4.565651152958537
52,0.9753507014028056,4.548245252869571
51,0.9761523046092184,4.520386597417625
49,0.9771543086172345,4.438579623052672
48,0.9775551102204408,4.400831592317195
46,0.97875751503006,4.309839651531042
43,0.9801603206412827,4.174836404862935
42,0.9817635270541082,4.019137349006084
40,0.9849699398797596,3.7771651147609306
39,0.9853707414829659,3.6770408512865393
38,0.9859719438877755,3.609280962129917
37,0.9863727454909819,3.54125105905368
36,0.9883767535070141,3.3526298191248154
34,0.9895791583166333,3.2415708419277656
33,0.9897795591182366,3.228516014831599
32,0.9907815631262527,3.1232928438958836
31,0.992184368737475,2.9268214236033763
30,0.993186372745491,2.5225342768219967
29,0.99498997995992,1.7726583155389857
1,1.0,0.0
